"","plot_id","C150.ca","C150.enn_cv","C150.ca_m2","Monitor","site_name","layer"
"1",1,0.00810123197455248,1.60909361089408e-13,81.0123197455248,"FOCG1","Mansion House","1"
"2",2,1.08386482602747,96.3817512094058,10838.6482602747,"FOCG2","Barber Surgeon ","1"
"3",3,0.0358054450233341,180.487473596763,358.054450233341,"FOCG3","Wood Street ","1"
"4",4,0.0355053993946436,NA,355.053993946436,"FOCG4","79 Charterhouse ","1"
"5",5,0.376057187954535,159.43575741064,3760.57187954535,"FOCG5","Guildhall ","1"
"6",6,0.0793120611829631,44.0175416833728,793.120611829631,"FOCG6","Weil","1"
"7",7,0.0221033613132852,37.5552177269911,221.033613132852,"FOCG7","Nomura","1"
"8",8,0.167425460807418,19.8695606709933,1674.25460807418,"FOCG8","Algate School","1"
"9",9,0.0221033613132852,37.5552177269909,221.033613132852,"FOCG9","Cannon Bridge","1"
"10",10,0.0603091713661129,195.319649816829,603.091713661129,"FOCG10","120 Fenchurch ","1"
"11",11,0.289444016473517,113.460019420837,2894.44016473517,"FOCG11","Cleary Garden ","1"
"12",12,1.98210142310717,0,19821.0142310717,"FOCG12","Inner Temple ","1"
"13",13,0.186328335414707,88.4047549401528,1863.28335414707,"FOCG13","St Dunstan ","1"
"14",14,0.420063880161981,157.576353077537,4200.63880161981,"FOCG14","Christchurch Greyfrairs","1"
"15",15,0.0904137494443882,64.7452859949717,904.137494443882,"FOCG15","Walbrook Wharf","1"
