"","plot_id","C200.ca","C200.enn_cv","C200.ca_m2","Monitor","site_name","layer"
"1",1,0.0804770504103465,146.90856100224,804.770504103465,"FOCG1","Mansion House","3e"
"2",2,0.14205948898522,177.140026674695,1420.5948898522,"FOCG2","Barber Surgeon ","3e"
"3",3,0.31970882883514,136.556500366661,3197.0882883514,"FOCG3","Wood Street ","3e"
"4",5,0.105469923208591,241.212097402159,1054.69923208591,"FOCG5","Guildhall ","3e"
"5",6,0.270422883677002,98.2697586255846,2704.22883677002,"FOCG6","Weil","3e"
"6",7,0.381891096357183,89.6543051060111,3818.91096357183,"FOCG7","Nomura","3e"
"7",8,0.0236932434127353,189.252446324814,236.932434127353,"FOCG8","Algate School","3e"
"8",9,0.443073648967294,91.8931508142082,4430.73648967294,"FOCG9","Cannon Bridge","3e"
"9",10,0.025992587710174,201.914873667951,259.92587710174,"FOCG10","120 Fenchurch ","3e"
"10",11,0.22363622579869,171.840956137909,2236.3622579869,"FOCG11","Cleary Garden ","3e"
"11",13,0.0644816118194692,141.521832103459,644.816118194692,"FOCG13","St Dunstan ","3e"
"12",14,0.223736197289883,126.739148226046,2237.36197289883,"FOCG14","Christchurch Greyfrairs","3e"
"13",15,0.48356210290043,85.5756477364439,4835.6210290043,"FOCG15","Walbrook Wharf","3e"
"14",4,0,0,0,"FOCG4","Barber Surgeon","3e"
"15",12,0,0,0,"FOCG12","Inner Temple","3e"
